lottery_id,date,no_1,no_2,no_3,no_4,no_5,no_6,power_no
3484,05/07/2022,1,15,16,31,32,33,2
3485,09/07/2022,1,12,15,19,27,31,4
3486,12/07/2022,9,14,15,23,27,33,2
3487,14/07/2022,6,12,15,19,26,27,4
3488,16/07/2022,1,7,8,11,12,25,2
3489,19/07/2022,4,8,9,10,15,24,7
3490,23/07/2022,7,13,19,21,25,37,6
3491,26/07/2022,11,12,13,16,34,36,6
3492,28/07/2022,2,15,17,27,34,37,1
3493,30/07/2022,7,13,24,26,35,37,7
3494,02/08/2022,6,8,9,20,23,28,7
3483,02/07/2022,2,4,12,14,26,37,4
3482,28/06/2022,1,4,7,21,22,36,6
3481,25/06/2022,12,17,26,28,32,35,1
3480,21/06/2022,4,6,7,12,17,27,7
3479,18/06/2022,1,4,9,12,30,31,3
3478,16/06/2022,1,7,10,13,29,36,2
3477,14/06/2022,3,5,6,10,15,36,3
3476,11/06/2022,7,8,20,31,36,37,4
3475,07/06/2022,3,6,13,23,25,29,5
3474,02/06/2022,11,24,25,27,29,32,3
3473,21/05/2022,2,5,10,19,27,36,1
3472,28/05/2022,1,2,8,19,31,33,7
3471,24/05/2022,6,10,13,20,23,35,7
3470,21/05/2022,3,4,5,15,24,33,6
